id-sum;anio;mes;dia;fecha;franja;tipo;subtipo;uso_arma;uso_moto;barrio;comuna;latitud;longitud;cantidad
88559;2023;MAYO;MIERCOLES;31/5/2023;23;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,654877;-58,497204;1
88560;2023;JUNIO;JUEVES;15/6/2023;13;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,655084;-58,49598;1
88561;2023;MARZO;VIERNES;17/3/2023;6;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,65492714;-58,49558119;1
88562;2023;JUNIO;MIERCOLES;14/6/2023;20;Robo;Robo automotor;SI;NO;MATADEROS;CC-09;-34,655045;-58,496153;1
88563;2023;OCTUBRE;VIERNES;27/10/2023;18;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,654195;-58,49897;1
88564;2023;MAYO;MIERCOLES;31/5/2023;13;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,65597704;-58,49721441;1
88565;2023;ENERO;SABADO;21/1/2023;22;Robo;Robo total;SI;SI;MATADEROS;CC-09;-34,655178;-58,498136;1
88566;2023;FEBRERO;DOMINGO;12/2/2023;5;Robo;Robo total;SI;SI;MATADEROS;CC-09;-34,656046;-58,497245;1
88567;2023;MARZO;JUEVES;9/3/2023;19;Robo;Robo total;NO;SI;MATADEROS;CC-09;-34,656537;-58,497834;1
88568;2023;MARZO;LUNES;27/3/2023;12;Robo;Robo total;NO;SI;MATADEROS;CC-09;-34,65429;-58,49902;1
88569;2023;JUNIO;LUNES;12/6/2023;19;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,655713;-58,498818;1
88570;2023;AGOSTO;VIERNES;25/8/2023;18;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,656537;-58,497834;1
88571;2023;SEPTIEMBRE;JUEVES;7/9/2023;1;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,654723;-58,498675;1
88572;2023;NOVIEMBRE;VIERNES;10/11/2023;21;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,655743;-58,498808;1
88573;2023;DICIEMBRE;MIERCOLES;6/12/2023;5;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,656046;-58,497245;1
88574;2023;NOVIEMBRE;VIERNES;10/11/2023;15;Hurto;Hurto total;NO;NO;LINIERS;CC-09;-34,64727843;-58,50538764;1
88575;2023;JUNIO;MIERCOLES;14/6/2023;9;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,647502;-58,505033;1
88576;2023;JULIO;JUEVES;6/7/2023;14;Robo;Robo total;NO;SI;MATADEROS;CC-09;-34,647469;-58,505233;1
88577;2023;AGOSTO;MIERCOLES;30/8/2023;11;Hurto;Hurto automotor;NO;NO;VILLA REAL;CC-10;-34,62148;-58,52168;1
