"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
339084,"2019","OCTUBRE","MIERCOLES","2019-10-02",0,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646264","-58.520218",1
339085,"2019","NOVIEMBRE","SABADO","2019-11-02",0,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.647856","-58.519733",1
339086,"2019","NOVIEMBRE","SABADO","2019-11-30",0,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.647342","-58.519069",1
339087,"2019","ENERO","DOMINGO","2019-01-06",4,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.643954","-58.519393",1
339088,"2019","FEBRERO","VIERNES","2019-02-01",14,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.644221","-58.519118",1
339089,"2019","MARZO","DOMINGO","2019-03-24",7,"Robo","Robo total","NO","NO","LINIERS",9,"-34.642451","-58.518427",1
339090,"2019","JUNIO","LUNES","2019-06-17",18,"Robo","Robo automotor","NO","NO","LINIERS",9,"-34.642647","-58.520697",1
339091,"2019","DICIEMBRE","LUNES","2019-12-09",14,"Robo","Robo total","NO","NO","LINIERS",9,"-34.642513","-58.519284",1
339092,"2019","FEBRERO","JUEVES","2019-02-07",0,"Robo","Robo total","SI","SI","LINIERS",9,"-34.643497","-58.520683",1
339093,"2019","MAYO","SABADO","2019-05-11",13,"Robo","Robo total","NO","NO","LINIERS",9,"-34.642566","-58.519517",1
339094,"2019","MARZO","JUEVES","2019-03-21",19,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646731","-58.516277",1
339095,"2019","OCTUBRE","VIERNES","2019-10-11",1,"Robo","Robo automotor","SI","NO","LINIERS",9,"-34.642543","-58.513688",1
339096,"2019","JULIO","MARTES","2019-07-09",19,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.64261","-58.520126",1
339097,"2019","SEPTIEMBRE","LUNES","2019-09-02",13,"Robo","Robo total","NO","NO","LINIERS",9,"-34.643274","-58.519147",1
339098,"2019","MAYO","LUNES","2019-05-27",8,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.646736","-58.51471",1
339099,"2019","ABRIL","MARTES","2019-04-16",23,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.647371","-58.515552",1
339100,"2019","ABRIL","JUEVES","2019-04-04",14,"Robo","Robo total","NO","NO","LINIERS",9,"-34.647153","-58.515713",1
